Month,Average USD/GBP=,Min USD/GBP=,Max USD/GBP=,Nb of working days
4/1970,0.41556000000000004,0.41533400000000004,0.41576199999999996,22
3/1970,0.41561800000000004,0.415145,0.416192,22
2/1970,0.415843,0.41534399999999994,0.41638100000000006,20
1/1970,0.41656000000000004,0.41626199999999997,0.41694,22
12/1969,0.417091,0.41651400000000005,0.417391,23
11/1969,0.417228,0.41688100000000006,0.417555,20
10/1969,0.41835900000000004,0.417232,0.42003100000000004,23
9/1969,0.41944499999999996,0.418691,0.419833,22
8/1969,0.41914799999999997,0.41813199999999995,0.420133,21
7/1969,0.418263,0.417916,0.4186,23
6/1969,0.418372,0.41817,0.41869399999999996,21
5/1969,0.419205,0.41819799999999996,0.42369300000000004,22
4/1969,0.41784899999999997,0.417281,0.419379,22
3/1969,0.418096,0.41730600000000007,0.418741,21
2/1969,0.418129,0.41772200000000004,0.418454,20
1/1969,0.41893199999999997,0.418009,0.419505,23
12/1968,0.41935200000000006,0.418724,0.419674,22
11/1968,0.418942,0.41813900000000004,0.419795,21
10/1968,0.418421,0.418188,0.41876,23
9/1968,0.41885100000000003,0.418389,0.41966000000000003,21
8/1968,0.41818500000000003,0.41751499999999997,0.41966000000000003,22
7/1968,0.41845699999999997,0.41748999999999997,0.41978999999999994,23
6/1968,0.41931,0.41888000000000003,0.419763,20
5/1968,0.418498,0.41718999999999995,0.41956000000000004,23
4/1968,0.416311,0.415545,0.417289,22
3/1968,0.416857,0.415307,0.41855299999999995,21
2/1968,0.414954,0.414574,0.415893,21
1/1968,0.415076,0.414579,0.41605200000000003,23
12/1967,0.41552700000000004,0.41321,0.416534,21
11/1967,0.381333,0.359156,0.41333500000000006,22
10/1967,0.3593,0.359126,0.35946100000000003,22
9/1967,0.359215,0.358971,0.35932800000000004,21
8/1967,0.359018,0.358687,0.359167,23
7/1967,0.358739,0.358533,0.358987,21
6/1967,0.358261,0.35798,0.358521,22
5/1967,0.357523,0.357161,0.35780300000000004,23
4/1967,0.357256,0.35707,0.357428,20
3/1967,0.357619,0.357199,0.357881,23
2/1967,0.35789899999999997,0.357653,0.358182,20
1/1967,0.35831,0.35786399999999996,0.35853,22
12/1966,0.358417,0.35822,0.358637,22
11/1966,0.358284,0.358135,0.358456,22
10/1966,0.358184,0.358058,0.358327,21
9/1966,0.35852399999999995,0.358232,0.358836,22
8/1966,0.358567,0.35838200000000003,0.358738,23
7/1966,0.35861,0.358219,0.35893800000000003,21
6/1966,0.35844499999999996,0.35823299999999997,0.358682,22
5/1966,0.358127,0.35787800000000003,0.358333,22
4/1966,0.357954,0.357804,0.358113,21
3/1966,0.35773,0.357199,0.35804400000000003,23
2/1966,0.356825,0.356602,0.357101,20
1/1966,0.356636,0.356513,0.356783,21
12/1965,0.356871,0.356717,0.35699899999999996,23
11/1965,0.356662,0.356504,0.35678699999999997,22
10/1965,0.356758,0.35664,0.35685900000000004,21
9/1965,0.357613,0.356854,0.35833899999999996,22
8/1965,0.358333,0.358196,0.358441,22
7/1965,0.35831599999999997,0.3581,0.358429,22
6/1965,0.35811,0.357808,0.35830700000000004,22
5/1965,0.357547,0.357284,0.358098,21
4/1965,0.357707,0.357242,0.358505,22
3/1965,0.358165,0.357823,0.3584,23
2/1965,0.357786,0.357581,0.357958,20
1/1965,0.358275,0.358114,0.35849000000000003,21
12/1964,0.35837600000000003,0.358135,0.35849200000000003,23
11/1964,0.359059,0.35829,0.35943600000000003,21
10/1964,0.359256,0.359005,0.35937399999999997,22
9/1964,0.359249,0.359142,0.359317,22
8/1964,0.358844,0.358582,0.359207,21
